Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Segambut, Kuala Lumpur","RM 635,000",3+1,4,2,Condominium (Corner),"Built-up : 1,643 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 530,000",2,2,,Serviced Residence,Built-up : 715 sq. ft.,
"KLCC, Kuala Lumpur","RM 5,070,000",3+1,4,3,Serviced Residence (Corner),"Built-up : 2,142 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur","RM 1,207,000",Studio,1,1,Serviced Residence (Intermediate),Built-up : 685 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 1,177,000",2,1,1,Serviced Residence (Intermediate),Built-up : 717 sq. ft.,Partly Furnished
"Batu Caves, Kuala Lumpur","RM 468,000",3,2,2,Serviced Residence,,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 3,000,000",3,2,,1-sty Terrace/Link House (Intermediate),Land area : 5700 sf sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 700,000",3,2,2,Condominium,"Built-up : 1,152 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 3,710,000",4+1,5,,Condominium,"Built-up : 3,369 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,900,000",3+1,4,,Condominium,"Built-up : 2,411 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,785,400",5+1,5,3,Condominium (Duplex),"Built-up : 3,907 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,300,000",2,2,2,Condominium,Built-up : 871 sq. ft.,Fully Furnished
"Sentul, Kuala Lumpur","RM 960,000",3+1,4,2,Condominium (Corner),"Built-up : 1,488 sq. ft.",Unfurnished
"KL City, Kuala Lumpur","RM 490,000",4,2,2,Condominium,"Built-up : 1,065 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 4,200,000",5+1,5,3,Condominium (Corner),"Built-up : 3,709 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,450,000",2,1,1,Serviced Residence (EndLot),"Built-up : 1,050 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,380,000",4+1,4,3,Condominium (Corner),"Built-up : 2,454 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,350,000",2+2,3,2,Condominium (Corner),"Built-up : 1,389 sq. ft.",
"KLCC, Kuala Lumpur","RM 1,800,000",4+1,5,,Condominium,"Built-up : 2,315 sq. ft.",
"Bukit Jalil, Kuala Lumpur","RM 1,210,000",5+1,6,4,3-sty Terrace/Link House (Intermediate),"Built-up : 3,400 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 4,995,000",5+1,7,6,Bungalow (Intermediate),Land area : 8113 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,900,000",4+1,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",2,2,2,Serviced Residence,"Built-up : 1,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 6,300,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 350,000",3,2,2,Serviced Residence,,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",2+1,2,1,Condominium,Built-up : 915 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,000,000",4+1,5,3,Condominium,"Built-up : 3,218 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 240,000",3,2,1,Condominium,Built-up : 850 sq. ft.,
"KLCC, Kuala Lumpur","RM 1,300,000",2,2,,Condominium (Corner),Built-up : 871 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium (EndLot),Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium (EndLot),Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,000,000",2+1,2,1,Serviced Residence (Corner),"Built-up : 1,350 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 6,380,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,480,000",4+1,6,,Condominium,"Built-up : 2,702 sq. ft.",Partly Furnished
"Batu Caves, Kuala Lumpur","RM 676,775",3+1,3,4,Serviced Residence (Intermediate),"Built-up : 1,265 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,280,000",4+1,5,,Condominium,"Built-up : 2,702 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,830,000",4+1,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur","RM 1,750,000",2+1,3,1,Serviced Residence,"Built-up : 1,442 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,780,000",3+1,3,2,2-sty Terrace/Link House (Intermediate),"Built-up : 2,400 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 3,380,000",5,4,,Semi-detached House (Intermediate),Land area : 4050 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,200,000",5+1,4,4,Condominium (Corner),"Built-up : 1,930 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,2,1,Serviced Residence,"Built-up : 1,046 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,1,2,Serviced Residence (Intermediate),"Built-up : 1,046 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,600,000",3+1,3,2,Condominium,"Built-up : 1,878 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,291,000",5+1,4,3,Condominium,"Built-up : 2,069 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 880,000",1,1,1,Serviced Residence,Built-up : 710 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 655,000",3+1,2,2,Serviced Residence (Corner),"Built-up : 1,094 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,150,000",3+1,5,3,Condominium,"Built-up : 2,700 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,400,000",3+1,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 7,975,250",4+1,6,2,Serviced Residence (Penthouse),"Built-up : 2,975 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,100,000",3,2,2,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,238,000",2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur","RM 750,000",2,2,1,Serviced Residence (Intermediate),Built-up : 823 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 2,100,000",3+1,4,2,Condominium (Corner),"Built-up : 2,153 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,4,,Condominium,"Built-up : 1,513 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,500,000",3,2,2,Condominium,"Built-up : 1,200 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,300,000",4+1,6,3,Condominium (Corner),"Built-up : 2,702 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",2+1,2,,Serviced Residence,Built-up : 777 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 990,000",2+2,3,2,Serviced Residence (Corner),"Built-up : 1,313 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 3,960,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",2,2,2,Serviced Residence (Corner),"Built-up : 1,184 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",1+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,087 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 5,460,000",7+1,9,6,3.5-sty Terrace/Link House (Intermediate),"Built-up : 7,000 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,050,000",3+1,5,2,Condominium,"Built-up : 2,356 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur","RM 1,121,800",2+1,2,1,Serviced Residence,"Built-up : 1,200 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,506,300",2,1,1,Serviced Residence (Intermediate),"Built-up : 1,020 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 1,530,000",3+1,3,2,Condominium (Corner),"Built-up : 2,095 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur","RM 3,680,000",7,8,4,Bungalow (Corner),Land area : 6300 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,5,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,300,000",4+1,5,,Condominium,"Built-up : 2,906 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 14,800,000",4+2,6,4,Bungalow,Land area : 8611 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,480,000",3+2,4,2,Condominium (Corner),"Built-up : 1,917 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur","RM 1,050,000",3,2,2,Condominium (Intermediate),"Built-up : 1,485 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,158,200",1,1,1,Condominium (Intermediate),,Partly Furnished
"Klcc, Kuala Lumpur","RM 1,200,019",2,2,1,Condominium (Corner),Built-up : 577 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 780,000",4+1,4,,Bungalow (Corner),Land area : 5320 sq. ft.,
"Bukit Kiara, Kuala Lumpur","RM 4,988,888",4+1,6,3,4-sty Terrace/Link House,Land area : 24x85 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,999,000",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,271 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,820,000",4+1,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 3,700,000",4+1,5,2,Condominium (Corner),"Built-up : 3,628 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,420,000",3+1,4,2,Condominium,"Built-up : 1,499 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,830,000",4+1,4,2,Condominium,"Built-up : 1,832 sq. ft.",Partly Furnished
"Bukit Kiara, Kuala Lumpur","RM 4,988,888",5+1,6,3,4-sty Terrace/Link House (Intermediate),Land area : 24x85 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,680,000",3+1,2,3,Condominium,"Built-up : 1,159 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,210,000",3,3,2,Condominium,"Built-up : 1,502 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,420,000",2,2,1,Condominium (Intermediate),Built-up : 976 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4+1,5,2,Serviced Residence (Corner),Land area : 3897 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,238,000",2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,230,000",,,3,Condominium,"Built-up : 2,973 sq. ft.",
"KLCC, Kuala Lumpur","RM 1,420,000",2,2,1,Condominium,,
"KLCC, Kuala Lumpur","RM 1,139,000",1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,930,000",2,2,2,Serviced Residence (Corner),"Built-up : 1,114 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,580,000",3,3,,3-sty Terrace/Link House (Intermediate),"Built-up : 1,900 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 1,620,000",1+1,2,1,Serviced Residence,"Built-up : 1,194 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,300,000",2+1,3,2,Condominium (Intermediate),"Built-up : 1,367 sq. ft.",Partly Furnished
"Country Heights Damansara, Kuala Lumpur","RM 8,000,000",7,7,6,Bungalow (Corner),Land area : 10600 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 6,500,000",5+1,4,6,Bungalow (Corner),Land area : 7880 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,750,000",3+1,4,,2-sty Terrace/Link House (Intermediate),Land area : 22x89 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,050,000",3+1,4,,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,200,000",2,2,,Townhouse,"Built-up : 1,400 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 1,600,000",3,2,2,Townhouse,"Built-up : 2,400 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,730,000",3+1,3,2,Condominium (Corner),"Built-up : 1,690 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,500,000",3+1,2,2,Condominium (Intermediate),"Built-up : 1,346 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,800,000",3+1,4,,3-sty Terrace/Link House (Intermediate),Land area : 1302 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,280,000",4+1,4,,Bungalow (Intermediate),Land area : 3200 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,500,000",3+1,3,2,Condominium (Intermediate),"Built-up : 1,400 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 5,500,000",6+1,8,,3.5-sty Terrace/Link House (Intermediate),Land area : 2805 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,180,000",2+1,3,2,Condominium,"Built-up : 1,507 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,300,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 1826 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,990,000",3+1,3,,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,950,000",3+1,3,,2-sty Terrace/Link House (Intermediate),"Built-up : 2,300 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,950,000",3+1,4,2,Condominium (Corner),"Built-up : 2,674 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur","RM 490,000",1,1,1,Serviced Residence,Built-up : 520 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,090,000",2,2,2,Serviced Residence,"Built-up : 1,572 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,600,000",5+1,6,,Semi-detached House (Corner),Land area : 65 x 90 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,230,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 1,378 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 350,000",3,2,1,Serviced Residence,Built-up : 950 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,230,000",1,1,1,Serviced Residence (Intermediate),Built-up : 850 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,250,000",2+1,2,2,Condominium (Intermediate),"Built-up : 1,303 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,500,000",3+1,5,3,3-sty Terrace/Link House (EndLot),Land area : 22x62 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,100,000",2+1,3,2,Condominium (Intermediate),"Built-up : 1,378 sq. ft.",Unfurnished
"Desa ParkCity, Kuala Lumpur","RM 1,980,000",3+1,4,3,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 1,300,000",3,2,2,Townhouse (Intermediate),Land area : 24x55 sq. ft.,Partly Furnished
"Taman Melawati, Kuala Lumpur","RM 2,800,000",4+1,6,4,Bungalow (Corner),Land area : 5628 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,050,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,5,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 5,900,000",4+1,5,3,Condominium,"Built-up : 4,000 sq. ft.",
"KLCC, Kuala Lumpur","RM 3,900,000",2,2,2,Serviced Residence,"Built-up : 1,636 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,300,000",1,1,1,Serviced Residence (EndLot),Built-up : 925 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,240,000",1,1,,Serviced Residence (Intermediate),Built-up : 850 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 438,000",3,2,1,Apartment (Corner),"Built-up : 1,018 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 530,000",3+1,2,1,Serviced Residence (Corner),Built-up : 900 sq. ft.,Partly Furnished
"Setiawangsa, Kuala Lumpur","RM 590,000",3,2,2,Condominium (Intermediate),"Built-up : 1,196 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 560,000",1,1,1,Serviced Residence,,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",2+1,2,1,Condominium (Corner),Built-up : 915 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 11,394,000",3+1,5,4,Serviced Residence (Penthouse),,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,400,000",2,2,1,Serviced Residence,"Built-up : 1,006 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur","RM 380,000",3+1,2,2,Condominium,Built-up : 950 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur","RM 1,198,000",1+1,1,1,Serviced Residence (Corner),Built-up : 764 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",Studio,1,1,Condominium (EndLot),Built-up : 657 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 12,000,000",6+1,6,4,Bungalow,Land area : 11500 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,280,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 25x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,780,000",1,1,1,Serviced Residence,Built-up : 728 sq. ft.,Fully Furnished
"OUG, Kuala Lumpur","RM 5,900,000",6+1,8,,Bungalow (Corner),Land area : 12722 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,1,1,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 1,340,000",4+1,6,4,3-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 1,600,000",4+1,6,4,3-sty Terrace/Link House (EndLot),Land area : 10+24 x 80 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 800,000",2+1,3,1,Serviced Residence (Corner),"Built-up : 1,055 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 320,000",4,2,2,Serviced Residence (Corner),Land area : 646sf~1001sf sq. ft.,Unfurnished
"Sungai Besi, Kuala Lumpur","RM 1,340,000",4+1,6,,3-sty Terrace/Link House (Intermediate),"Built-up : 3,216 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,5,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 6,000,000",4+1,5,2,Serviced Residence (Corner),"Built-up : 4,157 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,090,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,250,000",3+1,4,2,Serviced Residence (EndLot),"Built-up : 1,378 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,2,1,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,330,000",3+1,3,2,2-sty Terrace/Link House (Intermediate),Land area : 24x75 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,3,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,850,000",4+1,4,2,Condominium (Intermediate),"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,400,000",2,2,1,Serviced Residence,"Built-up : 1,006 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 1,613,300",3+1,5,3,Condominium,"Built-up : 2,336 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,440,000",1,2,1,Serviced Residence (Corner),"Built-up : 1,023 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 5,000,000",3+1,3,4,Bungalow (Corner),Land area : 7700 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 7,300,000",6,6,6,Bungalow (Corner),Land area : 7300 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 530,000",3,3,2,Condominium (Intermediate),,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,200,000",2,2,1,Serviced Residence,"Built-up : 1,572 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,850,000",4+1,4,2,Condominium (Intermediate),"Built-up : 1,830 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 783,990",1,1,1,Serviced Residence,Built-up : 650 sq. ft.,Partly Furnished
"Jalan Sultan Ismail, Kuala Lumpur","RM 495,000",1,1,,Serviced Residence (Intermediate),Built-up : 560 sq. ft.,Fully Furnished
"Chan Sow Lin, Kuala Lumpur","RM 569,200",1+1,2,2,Serviced Residence,Built-up : 888 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 439,600",3,2,2,Condominium (Intermediate),Land area : 850sf~1000sf sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,150,000",3,2,1,Condominium (Corner),"Built-up : 1,560 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 425,000",4,2,1,Condominium (Intermediate),Land area : 1087 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 10,000,000",5+1,7,5,Condominium (Corner),"Built-up : 6,913 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,800,000",3+1,4,2,Condominium (Corner),"Built-up : 2,243 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 1,480,000",3+1,3,,2-sty Terrace/Link House (Intermediate),Land area : 22&#8217;x100&#8217; sq. ft.,
"Cheras, Kuala Lumpur","RM 439,600",3,2,2,Condominium,Land area : 850-1000 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 6,670,000",4+1,6,,Condominium,"Built-up : 4,771 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 580,000",3,2,1,Condominium (Corner),"Built-up : 1,590 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 618,000",1,1,1,Serviced Residence (Intermediate),Land area : 650 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,518,000",3+1,3,3,Condominium (Corner),"Built-up : 2,648 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,220,000",4+1,4,3,Condominium,"Built-up : 2,973 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,150,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,800,000",4+1,4,3,2-sty Terrace/Link House (EndLot),"Land area : 2850, 38x75 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 3,100,000",4+1,4,3,Semi-detached House,Land area : 3600 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,380,000",4,3,2,2-sty Terrace/Link House,Land area : 23x75 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,450,000",3,2,2,1-sty Terrace/Link House (Intermediate),"Land area : 24x80, 1920 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 4,900,000",7,4,4,Bungalow (Intermediate),Land area : 11676 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,680,000",4,3,4,2-sty Terrace/Link House,Land area : 24x75 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 1,550,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur","RM 1,950,000",3+1,4,3,Condominium,"Built-up : 2,535 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,200,000",4+1,4,,3-sty Terrace/Link House,"Built-up : 4,300 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
